pin,slack
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/request_scheduler_0/WRITE_FIFO_PROC.s_fifo_0[0]:Q,2858
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[146]:A,224
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[146]:B,6187
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[146]:C,3672
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[146]:Y,224
top_ddr_write_0/DDR_Read_C0_0/DDR_Read_C0_0/genblk1.DDR_Read_Native_0/DDR_read_controller_0/un1_s_read_en_dly15_19:A,6022
top_ddr_write_0/DDR_Read_C0_0/DDR_Read_C0_0/genblk1.DDR_Read_Native_0/DDR_read_controller_0/un1_s_read_en_dly15_19:B,3625
top_ddr_write_0/DDR_Read_C0_0/DDR_Read_C0_0/genblk1.DDR_Read_Native_0/DDR_read_controller_0/un1_s_read_en_dly15_19:Y,3625
top_ddr_write_0/jpeg_top_1/u_jls/f_sof:CLK,6976
top_ddr_write_0/jpeg_top_1/u_jls/f_sof:D,6976
top_ddr_write_0/jpeg_top_1/u_jls/f_sof:Q,6976
top_ddr_write_0/jpeg_top_1/u_jls/f_sof:SLn,4555
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[47]:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[47]:CLK,6132
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[47]:D,3378
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[47]:EN,4311
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[47]:Q,6132
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[45]:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[45]:CLK,6132
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[45]:D,3376
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[45]:EN,4311
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/middle_dout[45]:Q,6132
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/rwptr1[0]:ALn,3032
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/rwptr1[0]:CLK,6976
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/rwptr1[0]:D,6976
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/rwptr1[0]:Q,6976
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk18.fifo_corefifo_sync_scntr/genblk3.empty_r:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk18.fifo_corefifo_sync_scntr/genblk3.empty_r:CLK,3037
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk18.fifo_corefifo_sync_scntr/genblk3.empty_r:D,5131
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk18.fifo_corefifo_sync_scntr/genblk3.empty_r:EN,5123
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk18.fifo_corefifo_sync_scntr/genblk3.empty_r:Q,3037
top_ddr_write_0/jpeg_top_1/u_fsm/ram_read_addr_Z[0]:CLK,6022
top_ddr_write_0/jpeg_top_1/u_fsm/ram_read_addr_Z[0]:D,6970
top_ddr_write_0/jpeg_top_1/u_fsm/ram_read_addr_Z[0]:EN,3695
top_ddr_write_0/jpeg_top_1/u_fsm/ram_read_addr_Z[0]:Q,6022
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[7]:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[7]:CLK,5348
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[7]:D,4223
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[7]:EN,5236
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[7]:Q,5348
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[8]:ALn,4409
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[8]:CLK,5711
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[8]:D,3190
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[8]:EN,2609
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[8]:Q,5711
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/wrptr1[4]:ALn,3032
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/wrptr1[4]:CLK,6976
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/wrptr1[4]:D,6976
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/wrptr1[4]:Q,6976
